"state","name","house"
"ACT","ACT Senate","senate"
"ACT","Bean","representatives"
"ACT","Canberra","representatives"
"ACT","Fenner","representatives"
"NSW","NSW Senate","senate"
"NSW","Banks","representatives"
"NSW","Barton","representatives"
"NSW","Bennelong","representatives"
"NSW","Berowra","representatives"
"NSW","Blaxland","representatives"
"NSW","Bradfield","representatives"
"NSW","Calare","representatives"
"NSW","Chifley","representatives"
"NSW","Cook","representatives"
"NSW","Cowper","representatives"
"NSW","Cunningham","representatives"
"NSW","Dobell","representatives"
"NSW","Eden-Monaro","representatives"
"NSW","Farrer","representatives"
"NSW","Fowler","representatives"
"NSW","Gilmore","representatives"
"NSW","Grayndler","representatives"
"NSW","Greenway","representatives"
"NSW","Hughes","representatives"
"NSW","Hume","representatives"
"NSW","Hunter","representatives"
"NSW","Kingsford Smith","representatives"
"NSW","Lindsay","representatives"
"NSW","Lyne","representatives"
"NSW","Macarthur","representatives"
"NSW","Mackellar","representatives"
"NSW","Macquarie","representatives"
"NSW","McMahon","representatives"
"NSW","Mitchell","representatives"
"NSW","New England","representatives"
"NSW","Newcastle","representatives"
"NSW","North Sydney","representatives"
"NSW","Page","representatives"
"NSW","Parkes","representatives"
"NSW","Parramatta","representatives"
"NSW","Paterson","representatives"
"NSW","Reid","representatives"
"NSW","Richmond","representatives"
"NSW","Riverina","representatives"
"NSW","Robertson","representatives"
"NSW","Shortland","representatives"
"NSW","Sydney","representatives"
"NSW","Warringah","representatives"
"NSW","Watson","representatives"
"NSW","Wentworth","representatives"
"NSW","Werriwa","representatives"
"NSW","Whitlam","representatives"
"NT","NT Senate","senate"
"NT","Lingiari","representatives"
"NT","Solomon","representatives"
"QLD","QLD Senate","senate"
"QLD","Blair","representatives"
"QLD","Bonner","representatives"
"QLD","Bowman","representatives"
"QLD","Brisbane","representatives"
"QLD","Capricornia","representatives"
"QLD","Dawson","representatives"
"QLD","Dickson","representatives"
"QLD","Fadden","representatives"
"QLD","Fairfax","representatives"
"QLD","Fisher","representatives"
"QLD","Flynn","representatives"
"QLD","Forde","representatives"
"QLD","Griffith","representatives"
"QLD","Groom","representatives"
"QLD","Herbert","representatives"
"QLD","Hinkler","representatives"
"QLD","Kennedy","representatives"
"QLD","Leichhardt","representatives"
"QLD","Lilley","representatives"
"QLD","Longman","representatives"
"QLD","Maranoa","representatives"
"QLD","McPherson","representatives"
"QLD","Moncrieff","representatives"
"QLD","Moreton","representatives"
"QLD","Oxley","representatives"
"QLD","Petrie","representatives"
"QLD","Rankin","representatives"
"QLD","Ryan","representatives"
"QLD","Wide Bay","representatives"
"QLD","Wright","representatives"
"SA","SA Senate","senate"
"SA","Adelaide","representatives"
"SA","Barker","representatives"
"SA","Boothby","representatives"
"SA","Grey","representatives"
"SA","Hindmarsh","representatives"
"SA","Kingston","representatives"
"SA","Makin","representatives"
"SA","Mayo","representatives"
"SA","Spence","representatives"
"SA","Sturt","representatives"
"TAS","TAS Senate","senate"
"TAS","Bass","representatives"
"TAS","Braddon","representatives"
"TAS","Clark","representatives"
"TAS","Franklin","representatives"
"TAS","Lyons","representatives"
"VIC","VIC Senate","senate"
"VIC","Aston","representatives"
"VIC","Ballarat","representatives"
"VIC","Bendigo","representatives"
"VIC","Bruce","representatives"
"VIC","Calwell","representatives"
"VIC","Casey","representatives"
"VIC","Chisholm","representatives"
"VIC","Cooper","representatives"
"VIC","Corangamite","representatives"
"VIC","Corio","representatives"
"VIC","Deakin","representatives"
"VIC","Dunkley","representatives"
"VIC","Flinders","representatives"
"VIC","Fraser","representatives"
"VIC","Gellibrand","representatives"
"VIC","Gippsland","representatives"
"VIC","Goldstein","representatives"
"VIC","Gorton","representatives"
"VIC","Higgins","representatives"
"VIC","Holt","representatives"
"VIC","Hotham","representatives"
"VIC","Indi","representatives"
"VIC","Isaacs","representatives"
"VIC","Jagajaga","representatives"
"VIC","Kooyong","representatives"
"VIC","La Trobe","representatives"
"VIC","Lalor","representatives"
"VIC","Macnamara","representatives"
"VIC","Mallee","representatives"
"VIC","Maribyrnong","representatives"
"VIC","McEwen","representatives"
"VIC","Melbourne","representatives"
"VIC","Menzies","representatives"
"VIC","Monash","representatives"
"VIC","Nicholls","representatives"
"VIC","Scullin","representatives"
"VIC","Wannon","representatives"
"VIC","Wills","representatives"
"WA","WA Senate","senate"
"WA","Brand","representatives"
"WA","Burt","representatives"
"WA","Canning","representatives"
"WA","Cowan","representatives"
"WA","Curtin","representatives"
"WA","Durack","representatives"
"WA","Forrest","representatives"
"WA","Fremantle","representatives"
"WA","Hasluck","representatives"
"WA","Moore","representatives"
"WA","O'Connor","representatives"
"WA","Pearce","representatives"
"WA","Perth","representatives"
"WA","Stirling","representatives"
"WA","Swan","representatives"
"WA","Tangney","representatives"
